Longitude,Latitude,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice
-88.186454801331,42.083095214937,1.69404074938808,8789,24160.0,2393.0,506870.0,725000.0
-88.1838824478375,42.0879756130135,1.77649256396005,17047,46870.0,3128.0,721530.0,631000.0
-88.1708650282531,42.0757704865496,1.44214412286973,79453,218490.0,3557.0,583080.0,690000.0
-88.1501399844349,42.0765920363,1.31890053649731,61419,168900.0,3966.0,541100.0,765000.0
-88.1501365169308,42.0760486590475,1.31038480860494,60112,165300.0,5769.0,814700.0,945000.0
-88.149296999708,42.0776977711891,1.3304496290127,60548,166500.0,5220.0,772040.0,885000.0
-88.147682994384,42.0766921222468,1.30448042392732,53578,147330.0,5738.0,772020.0,1480000.0
-88.1476783156501,42.0756964328494,1.28936378482143,53578,147330.0,4111.0,734210.0,870000.0
-88.1455647593044,42.0805297985083,1.34687144524367,57063,156920.0,4390.0,611090.0,655000.0
-88.1238472606542,42.0803693702436,1.20550469019937,43560,76230.0,3197.0,516640.0,540000.0
-88.0192484144287,42.1477670220368,0.812268936814324,8698,43490.0,1135.0,197420.0,280000.0
-88.0121692752624,42.1524586285722,0.847672978648171,3334,16670.0,6567.0,463440.0,595000.0
-88.0103878003705,42.1519984776642,0.841667198131296,3417,17080.0,6370.0,447810.0,595000.0
-88.007008449227,42.1509046325204,0.82871124214049,8784,43920.0,1077.0,188420.0,205830.0
-88.0088919570575,42.1501261115611,0.822271281939031,8640,43200.0,1077.0,188820.0,232000.0
-88.0066182733237,42.1504496797963,0.824069006421955,9600,48000.0,1150.0,192000.0,262000.0
-88.0054882185241,42.1483387815615,0.804345803252733,10358,51790.0,1063.0,174680.0,262000.0
-88.0061759765911,42.1473527180641,0.796720742810727,12320,61600.0,1068.0,185480.0,261000.0
-88.0072535215532,42.1477494879106,0.800565712052356,9750,48750.0,1328.0,220020.0,295000.0
-88.0068023074784,42.1465590937164,0.791107497473472,8280,41400.0,1113.0,221670.0,285000.0
-88.0157588824452,42.1457520440488,0.793429612228142,2654,13270.0,5742.0,392180.0,535000.0
-88.0213375448413,42.1427778499931,0.78357217757352,11400,57000.0,1125.0,173010.0,230000.0
-88.0206826137716,42.1432491538004,0.784992007680562,12160,60800.0,1227.0,138300.0,249900.0
-88.0183145301392,42.1436091446397,0.783588602160208,11433,57160.0,1196.0,184840.0,297000.0
-88.0175726889859,42.1432384085901,0.780644696278947,13517,67580.0,2045.0,257180.0,280000.0
-88.0199068183702,42.1411853449859,0.774161192796898,10112,50560.0,1100.0,138820.0,241567.0
-88.0194682882381,42.1406632125904,0.771455719486939,10350,51750.0,962.0,148840.0,242900.0
-88.0220130290633,42.1461196448264,0.804396483509962,10108,50540.0,1151.0,211680.0,249000.0
-88.019740518927,42.145206631849,0.794951459900735,10108,50540.0,1782.0,249920.0,312500.0
-88.0170668662227,42.1445044009955,0.787105862456117,9471,47350.0,1379.0,240670.0,319000.0
