TownCode,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice,Age,WallMaterial,RoofMaterial,Rooms,Bedrooms,FullBaths,Basement,BasementFinish,CentralHeating,CentralAir,AtticType,HalfBaths,Garage1Size,Garage1Material,Garage1Attachment,Garage1Area,Porch
10,1.42727650900167,8616,40920.0,1284.0,213170.0,265000.0,36,1.0,1.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3
10,1.40339517922019,4969,23600.0,1177.0,216100.0,280000.0,39,3.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,3
10,1.47362781558941,7277,34560.0,2006.0,270000.0,225000.0,40,1.0,1.0,7.0,3.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,3
10,1.45357261974552,45250,79180.0,4767.0,691220.0,650000.0,30,2.0,4.0,10.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,Other,2.0,1.0,1.0,3
10,1.43779184924355,50987,89220.0,3944.0,652920.0,735000.0,30,1.0,4.0,9.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,Other,1.0,1.0,1.0,3
10,1.34686205389143,8391,39850.0,1782.0,266470.0,274000.0,43,1.0,1.0,7.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.35233896005808,13416,63720.0,1280.0,221650.0,352000.0,43,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,2.0,3
10,1.35417381304912,9296,44150.0,1150.0,222870.0,350000.0,43,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.40842674562353,8520,40470.0,2188.0,306970.0,383000.0,32,1.0,1.0,7.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.38675019811045,9994,47470.0,2333.0,295190.0,385000.0,34,1.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1
10,1.39059497678307,11973,56870.0,2394.0,324270.0,300860.0,32,1.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1
10,1.36057388105408,10642,50540.0,2251.0,307060.0,253668.0,42,1.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.34829286559846,9398,44640.0,2013.0,289120.0,385000.0,42,1.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.33586702470112,9271,44030.0,2135.0,278500.0,325000.0,42,1.0,1.0,10.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.35052771369197,9750,46310.0,1578.0,236200.0,293000.0,42,1.0,1.0,7.0,3.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.31231127640749,9890,46970.0,1600.0,254640.0,262000.0,42,1.0,1.0,7.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.34180234194678,8510,40420.0,2251.0,296630.0,375000.0,42,1.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.32958924045758,8108,38510.0,1150.0,231830.0,340000.0,41,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,2.0,3
10,1.25321849314635,3433835,412440.0,6851.0,1813140.0,236400.0,104,1.0,4.0,10.0,5.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,Other,1.0,2.0,2.0,3
10,1.44853401612263,59503,104130.0,3743.0,612910.0,705000.0,34,1.0,4.0,10.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,Other,3.0,1.0,2.0,3
10,1.51298969263822,104588,183020.0,2222.0,361080.0,363000.0,48,1.0,1.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3
10,1.4926497865433,57761,101080.0,2897.0,463520.0,473000.0,45,2.0,1.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,1.52363749748947,65993,115480.0,6749.0,940140.0,690000.0,32,2.0,1.0,Other,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,1.0,3
10,1.59755888289944,96045,168070.0,4417.0,687730.0,555000.0,34,2.0,4.0,10.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,Other,2.0,1.0,1.0,3
10,1.49315853253165,57543,100700.0,8150.0,1280770.0,788500.0,19,4.0,5.0,Other,6.0,Other,1.0,1.0,1.0,1.0,3.0,1.0,Other,4.0,1.0,1.0,3
